,post_id,comment_sentiment,comment_happy,comment_angry,comment_surprise,comment_sad,comment_fear,comment_number
65,009d7fe30598845f7c54e6854ce5e7b3,0.0,0.0,0.0,0.0,0.0,0.0,1
66,009ec48f7435119df34612967402452c,0.9941,0.32,0.04,0.12,0.32,0.2,13
67,009f913124a365ee104124e3e1333085,0.0,0.0,1.0,0.0,0.0,0.0,1
68,009fa6c903590e9485a4aef0afbed258,0.0,0.0,0.0,0.0,0.0,0.0,1
69,00a13c62723350235539196c1814cc7c,0.2263,0.11,0.0,0.33,0.39,0.17,1
70,00a4b4d4c555915e4732c423b14877d6,0.0,0.0,0.0,0.0,0.0,1.0,1
71,00aa37a7ad1b4232c6ae3ec4a9817704,0.9747,0.14,0.08,0.2,0.18,0.39,13
72,00b358da74d55d188d82874db8c7c2f9,-0.4019,0.0,0.0,0.0,0.0,0.0,1
73,00b3be90bd799b1e60945bb424e1ee18,0.8669,0.22,0.11,0.33,0.11,0.22,7
74,00b8451362b9a7b37bf2054fa3edbd3a,0.0,0.0,0.0,1.0,0.0,0.0,1
75,00ba8c08b681c9dff69805cd7f229bd6,0.8331,0.0,0.25,0.5,0.25,0.0,3
76,00c016b999ba47ead488980510d088c7,0.7184,1.0,0.0,0.0,0.0,0.0,1
77,00c65d1b909796bdd346278c50dd92ee,-0.6597,0.5,0.0,0.0,0.5,0.0,1
78,00c95c3e4dd8a2b5f1e9681267e6779b,0.802,0.4,0.0,0.0,0.4,0.2,3
79,00d0554a4d09a34edc90f057a636fb7a,0.8555,0.5,0.0,0.0,0.5,0.0,2
80,00d2898ee04ff8c7626823924d53b812,0.3182,0.0,0.0,0.0,1.0,0.0,2
81,00d98464527c8e1124774676774cf816,0.7243,0.0,0.0,0.0,0.0,0.0,1
82,00dc28b1fb6fa2ab325ac223b6b5acc6,0.6369,0.5,0.0,0.25,0.25,0.0,2
83,00e16d12c1a2d1d92472dfaad680c664,0.3612,0.0,0.0,0.0,0.0,0.0,2
